"(x, y)",Year,Month,Town,Block,Floor_Area,Flat_Model,Lease_Commence_Date,Price_Per_Square_Meter
"(1, 80)",2018,6,WOODLANDS,8,88,Improved,1976,2614
"(2, 80)",2018,7,WOODLANDS,33,98,New Generation,1978,2449
"(3, 80)",2018,7,WOODLANDS,33,98,New Generation,1978,2449
"(4, 80)",2018,7,WOODLANDS,33,98,New Generation,1978,2449
"(5, 80)",2018,7,WOODLANDS,33,98,New Generation,1978,2449
"(6, 80)",2018,7,WOODLANDS,33,98,New Generation,1978,2449
"(7, 80)",2018,7,WOODLANDS,33,98,New Generation,1978,2449
"(8, 80)",2018,7,WOODLANDS,33,98,New Generation,1978,2449
"(1, 81)",2018,6,WOODLANDS,8,88,Improved,1976,2614
"(2, 81)",2018,7,WOODLANDS,33,98,New Generation,1978,2449
"(3, 81)",2018,7,WOODLANDS,33,98,New Generation,1978,2449
"(4, 81)",2018,7,WOODLANDS,33,98,New Generation,1978,2449
"(5, 81)",2018,7,WOODLANDS,33,98,New Generation,1978,2449
"(6, 81)",2018,7,WOODLANDS,33,98,New Generation,1978,2449
"(7, 81)",2018,7,WOODLANDS,33,98,New Generation,1978,2449
"(8, 81)",2018,7,WOODLANDS,33,98,New Generation,1978,2449
"(1, 82)",2018,6,WOODLANDS,8,88,Improved,1976,2614
"(2, 82)",2018,7,WOODLANDS,33,98,New Generation,1978,2449
"(3, 82)",2018,7,WOODLANDS,33,98,New Generation,1978,2449
"(4, 82)",2018,7,WOODLANDS,33,98,New Generation,1978,2449
"(5, 82)",2018,7,WOODLANDS,33,98,New Generation,1978,2449
"(6, 82)",2018,7,WOODLANDS,33,98,New Generation,1978,2449
"(7, 82)",2018,7,WOODLANDS,33,98,New Generation,1978,2449
"(8, 82)",2018,7,WOODLANDS,33,98,New Generation,1978,2449
"(1, 83)",2018,6,WOODLANDS,8,88,Improved,1976,2614
"(2, 83)",2018,7,WOODLANDS,33,98,New Generation,1978,2449
"(3, 83)",2018,7,WOODLANDS,33,98,New Generation,1978,2449
"(4, 83)",2018,7,WOODLANDS,33,98,New Generation,1978,2449
"(5, 83)",2018,7,WOODLANDS,33,98,New Generation,1978,2449
"(6, 83)",2018,7,WOODLANDS,33,98,New Generation,1978,2449
"(7, 83)",2018,7,WOODLANDS,33,98,New Generation,1978,2449
"(8, 83)",2018,7,WOODLANDS,33,98,New Generation,1978,2449
"(1, 84)",2018,6,WOODLANDS,8,88,Improved,1976,2614
"(2, 84)",2018,7,WOODLANDS,33,98,New Generation,1978,2449
"(3, 84)",2018,7,WOODLANDS,33,98,New Generation,1978,2449
"(4, 84)",2018,7,WOODLANDS,33,98,New Generation,1978,2449
"(5, 84)",2018,7,WOODLANDS,33,98,New Generation,1978,2449
"(6, 84)",2018,7,WOODLANDS,33,98,New Generation,1978,2449
"(7, 84)",2018,7,WOODLANDS,33,98,New Generation,1978,2449
"(8, 84)",2018,7,WOODLANDS,33,98,New Generation,1978,2449
"(1, 85)",2018,6,WOODLANDS,8,88,Improved,1976,2614
"(2, 85)",2018,7,WOODLANDS,33,98,New Generation,1978,2449
"(3, 85)",2018,7,WOODLANDS,33,98,New Generation,1978,2449
"(4, 85)",2018,7,WOODLANDS,33,98,New Generation,1978,2449
"(5, 85)",2018,7,WOODLANDS,33,98,New Generation,1978,2449
"(6, 85)",2018,7,WOODLANDS,33,98,New Generation,1978,2449
"(7, 85)",2018,7,WOODLANDS,33,98,New Generation,1978,2449
"(8, 85)",2018,7,WOODLANDS,33,98,New Generation,1978,2449
"(1, 86)",2018,6,WOODLANDS,8,88,Improved,1976,2614
"(2, 86)",2018,7,WOODLANDS,33,98,New Generation,1978,2449
"(3, 86)",2018,7,WOODLANDS,33,98,New Generation,1978,2449
"(4, 86)",2018,7,WOODLANDS,33,98,New Generation,1978,2449
"(5, 86)",2018,7,WOODLANDS,33,98,New Generation,1978,2449
"(6, 86)",2018,7,WOODLANDS,33,98,New Generation,1978,2449
"(7, 86)",2018,7,WOODLANDS,33,98,New Generation,1978,2449
"(8, 86)",2018,7,WOODLANDS,33,98,New Generation,1978,2449
"(1, 87)",2018,6,WOODLANDS,8,88,Improved,1976,2614
"(2, 87)",2018,7,WOODLANDS,33,98,New Generation,1978,2449
"(3, 87)",2018,7,WOODLANDS,33,98,New Generation,1978,2449
"(4, 87)",2018,7,WOODLANDS,33,98,New Generation,1978,2449
"(5, 87)",2018,7,WOODLANDS,33,98,New Generation,1978,2449
"(6, 87)",2018,7,WOODLANDS,33,98,New Generation,1978,2449
"(7, 87)",2018,7,WOODLANDS,33,98,New Generation,1978,2449
"(8, 87)",2018,7,WOODLANDS,33,98,New Generation,1978,2449
