"(x, y)",Year,Month,Town,Block,Floor_Area,Flat_Model,Lease_Commence_Date,Price_Per_Square_Meter
"(1, 80)",2021,4,CHOA CHU KANG,681,107,Premium Apartment,1999,3307
"(2, 80)",2021,4,CHOA CHU KANG,681,107,Premium Apartment,1999,3307
"(3, 80)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(4, 80)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(5, 80)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(6, 80)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(7, 80)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(8, 80)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(1, 81)",2021,4,CHOA CHU KANG,681,107,Premium Apartment,1999,3307
"(2, 81)",2021,4,CHOA CHU KANG,681,107,Premium Apartment,1999,3307
"(3, 81)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(4, 81)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(5, 81)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(6, 81)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(7, 81)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(8, 81)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(1, 82)",2021,4,CHOA CHU KANG,681,107,Premium Apartment,1999,3307
"(2, 82)",2021,4,CHOA CHU KANG,681,107,Premium Apartment,1999,3307
"(3, 82)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(4, 82)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(5, 82)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(6, 82)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(7, 82)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(8, 82)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(1, 83)",2021,4,CHOA CHU KANG,681,107,Premium Apartment,1999,3307
"(2, 83)",2021,4,CHOA CHU KANG,681,107,Premium Apartment,1999,3307
"(3, 83)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(4, 83)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(5, 83)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(6, 83)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(7, 83)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(8, 83)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(1, 84)",2021,4,CHOA CHU KANG,681,107,Premium Apartment,1999,3307
"(2, 84)",2021,4,CHOA CHU KANG,681,107,Premium Apartment,1999,3307
"(3, 84)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(4, 84)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(5, 84)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(6, 84)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(7, 84)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(8, 84)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(1, 85)",2021,4,CHOA CHU KANG,681,107,Premium Apartment,1999,3307
"(2, 85)",2021,4,CHOA CHU KANG,681,107,Premium Apartment,1999,3307
"(3, 85)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(4, 85)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(5, 85)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(6, 85)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(7, 85)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(8, 85)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(1, 86)",2021,4,CHOA CHU KANG,681,107,Premium Apartment,1999,3307
"(2, 86)",2021,4,CHOA CHU KANG,681,107,Premium Apartment,1999,3307
"(3, 86)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(4, 86)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(5, 86)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(6, 86)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(7, 86)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(8, 86)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(1, 87)",2021,4,CHOA CHU KANG,681,107,Premium Apartment,1999,3307
"(2, 87)",2021,4,CHOA CHU KANG,681,107,Premium Apartment,1999,3307
"(3, 87)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(4, 87)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(5, 87)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(6, 87)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(7, 87)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(8, 87)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(1, 88)",2021,4,CHOA CHU KANG,681,107,Premium Apartment,1999,3307
"(2, 88)",2021,4,CHOA CHU KANG,681,107,Premium Apartment,1999,3307
"(3, 88)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(4, 88)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(5, 88)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(6, 88)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(7, 88)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(8, 88)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(1, 89)",2021,4,CHOA CHU KANG,681,107,Premium Apartment,1999,3307
"(2, 89)",2021,4,CHOA CHU KANG,681,107,Premium Apartment,1999,3307
"(3, 89)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(4, 89)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(5, 89)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(6, 89)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(7, 89)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(8, 89)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(1, 90)",2021,4,CHOA CHU KANG,681,107,Premium Apartment,1999,3307
"(2, 90)",2021,4,CHOA CHU KANG,681,107,Premium Apartment,1999,3307
"(3, 90)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(4, 90)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(5, 90)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(6, 90)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(7, 90)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(8, 90)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(1, 91)",2021,4,CHOA CHU KANG,681,107,Premium Apartment,1999,3307
"(2, 91)",2021,4,CHOA CHU KANG,681,107,Premium Apartment,1999,3307
"(3, 91)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(4, 91)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(5, 91)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(6, 91)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(7, 91)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(8, 91)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(1, 92)",2021,4,CHOA CHU KANG,681,107,Premium Apartment,1999,3307
"(2, 92)",2021,4,CHOA CHU KANG,681,107,Premium Apartment,1999,3307
"(3, 92)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(4, 92)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(5, 92)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(6, 92)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(7, 92)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(8, 92)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(1, 93)",2021,4,CHOA CHU KANG,681,107,Premium Apartment,1999,3307
"(2, 93)",2021,4,CHOA CHU KANG,681,107,Premium Apartment,1999,3307
"(3, 93)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(4, 93)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(5, 93)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(6, 93)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(7, 93)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(8, 93)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(1, 94)",2021,4,CHOA CHU KANG,681,107,Premium Apartment,1999,3307
"(2, 94)",2021,4,CHOA CHU KANG,681,107,Premium Apartment,1999,3307
"(3, 94)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(4, 94)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(5, 94)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(6, 94)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(7, 94)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(8, 94)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(1, 95)",2021,4,CHOA CHU KANG,681,107,Premium Apartment,1999,3307
"(2, 95)",2021,4,CHOA CHU KANG,681,107,Premium Apartment,1999,3307
"(3, 95)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(4, 95)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
"(5, 95)",2021,6,CHOA CHU KANG,531,148,Apartment,1995,3243
