"(x, y)",Year,Month,Town,Block,Floor_Area,Flat_Model,Lease_Commence_Date,Price_Per_Square_Meter
"(1, 80)",2017,4,CHOA CHU KANG,136,107,Model A,1989,2897
"(2, 80)",2017,5,BUKIT PANJANG,203,108,Model A,1988,2778
"(3, 80)",2017,5,BUKIT PANJANG,203,108,Model A,1988,2778
"(4, 80)",2017,5,BUKIT PANJANG,203,108,Model A,1988,2778
"(5, 80)",2017,5,BUKIT PANJANG,203,108,Model A,1988,2778
"(6, 80)",2017,5,BUKIT PANJANG,203,108,Model A,1988,2778
"(7, 80)",2017,5,BUKIT PANJANG,203,108,Model A,1988,2778
"(8, 80)",2017,5,BUKIT PANJANG,203,108,Model A,1988,2778
"(1, 81)",2017,4,CHOA CHU KANG,136,107,Model A,1989,2897
"(2, 81)",2017,5,BUKIT PANJANG,203,108,Model A,1988,2778
"(3, 81)",2017,5,BUKIT PANJANG,203,108,Model A,1988,2778
"(4, 81)",2017,5,BUKIT PANJANG,203,108,Model A,1988,2778
"(5, 81)",2017,5,BUKIT PANJANG,203,108,Model A,1988,2778
"(6, 81)",2017,5,BUKIT PANJANG,203,108,Model A,1988,2778
"(7, 81)",2017,5,BUKIT PANJANG,203,108,Model A,1988,2778
"(8, 81)",2017,5,BUKIT PANJANG,203,108,Model A,1988,2778
"(1, 82)",2017,4,CHOA CHU KANG,136,107,Model A,1989,2897
"(2, 82)",2017,5,BUKIT PANJANG,203,108,Model A,1988,2778
"(3, 82)",2017,5,BUKIT PANJANG,203,108,Model A,1988,2778
"(4, 82)",2017,5,BUKIT PANJANG,203,108,Model A,1988,2778
"(5, 82)",2017,5,BUKIT PANJANG,203,108,Model A,1988,2778
"(6, 82)",2017,5,BUKIT PANJANG,203,108,Model A,1988,2778
"(7, 82)",2017,5,BUKIT PANJANG,203,108,Model A,1988,2778
"(8, 82)",2017,5,BUKIT PANJANG,203,108,Model A,1988,2778
"(1, 83)",2017,4,CHOA CHU KANG,136,107,Model A,1989,2897
"(2, 83)",2017,5,BUKIT PANJANG,203,108,Model A,1988,2778
"(3, 83)",2017,5,BUKIT PANJANG,203,108,Model A,1988,2778
"(4, 83)",2017,5,BUKIT PANJANG,203,108,Model A,1988,2778
"(5, 83)",2017,5,BUKIT PANJANG,203,108,Model A,1988,2778
"(6, 83)",2017,5,BUKIT PANJANG,203,108,Model A,1988,2778
"(7, 83)",2017,5,BUKIT PANJANG,203,108,Model A,1988,2778
"(8, 83)",2017,5,BUKIT PANJANG,203,108,Model A,1988,2778
"(1, 84)",2017,4,CHOA CHU KANG,136,107,Model A,1989,2897
"(2, 84)",2017,5,BUKIT PANJANG,203,108,Model A,1988,2778
"(3, 84)",2017,5,BUKIT PANJANG,203,108,Model A,1988,2778
"(4, 84)",2017,5,BUKIT PANJANG,203,108,Model A,1988,2778
"(5, 84)",2017,5,BUKIT PANJANG,203,108,Model A,1988,2778
"(6, 84)",2017,5,BUKIT PANJANG,203,108,Model A,1988,2778
"(7, 84)",2017,5,BUKIT PANJANG,203,108,Model A,1988,2778
"(8, 84)",2017,5,BUKIT PANJANG,203,108,Model A,1988,2778
"(1, 85)",2017,4,CHOA CHU KANG,136,107,Model A,1989,2897
"(2, 85)",2017,5,BUKIT PANJANG,203,108,Model A,1988,2778
"(3, 85)",2017,5,BUKIT PANJANG,203,108,Model A,1988,2778
"(4, 85)",2017,5,BUKIT PANJANG,203,108,Model A,1988,2778
"(5, 85)",2017,5,BUKIT PANJANG,203,108,Model A,1988,2778
"(6, 85)",2017,5,BUKIT PANJANG,203,108,Model A,1988,2778
"(7, 85)",2017,5,BUKIT PANJANG,203,108,Model A,1988,2778
"(8, 85)",2017,5,BUKIT PANJANG,203,108,Model A,1988,2778
"(1, 86)",2017,4,CHOA CHU KANG,136,107,Model A,1989,2897
"(2, 86)",2017,5,BUKIT PANJANG,203,108,Model A,1988,2778
"(3, 86)",2017,5,BUKIT PANJANG,203,108,Model A,1988,2778
"(4, 86)",2017,5,BUKIT PANJANG,203,108,Model A,1988,2778
"(5, 86)",2017,5,BUKIT PANJANG,203,108,Model A,1988,2778
"(6, 86)",2017,5,BUKIT PANJANG,203,108,Model A,1988,2778
"(7, 86)",2017,5,BUKIT PANJANG,203,108,Model A,1988,2778
"(8, 86)",2017,5,BUKIT PANJANG,203,108,Model A,1988,2778
"(1, 87)",2017,4,CHOA CHU KANG,136,107,Model A,1989,2897
"(2, 87)",2017,5,BUKIT PANJANG,203,108,Model A,1988,2778
"(3, 87)",2017,5,BUKIT PANJANG,203,108,Model A,1988,2778
"(4, 87)",2017,5,BUKIT PANJANG,203,108,Model A,1988,2778
"(5, 87)",2017,5,BUKIT PANJANG,203,108,Model A,1988,2778
"(6, 87)",2017,5,BUKIT PANJANG,203,108,Model A,1988,2778
